,AGE,INCOME,TRAVTIME,BLUEBOOK,CAR_AGE,YOJ,TGT_CLAIM_FLAG
0,60.0,67349.0,14,14230.0,18.0,11.0,0
1,43.0,91449.0,22,14940.0,1.0,11.0,0
2,48.0,52881.0,26,21970.0,10.0,11.0,0
3,35.0,16039.0,5,4010.0,10.0,10.0,0
4,34.0,125301.0,46,17430.0,7.0,12.0,1
5,40.0,50815.0,21,18930.0,1.0,11.0,1
6,44.0,43486.0,30,5900.0,10.0,12.0,0
7,34.0,62978.0,34,11200.0,1.0,10.0,1
8,50.0,106952.0,48,18510.0,17.0,7.0,0
9,53.0,77100.0,15,18300.0,11.0,14.0,1
10,43.0,52642.0,36,22420.0,1.0,5.0,0
11,55.0,59162.0,25,17600.0,9.0,11.0,0
12,45.0,57872.477795193314,48,6000.0,5.0,10.452978056426332,1
13,39.0,51884.0,43,10590.0,13.0,12.0,0
14,59.0,87460.0,45,15420.0,1.0,12.0,1
15,42.0,59945.0,42,14190.0,16.0,11.0,0
16,34.0,34019.0,27,8300.0,20.0,13.0,0
17,31.0,18903.0,48,17330.0,7.0,12.0,0
18,28.0,44077.0,29,8710.0,1.0,13.0,1
19,48.0,96274.0,36,11130.0,14.0,14.0,0
20,47.0,46281.0,29,19700.0,5.0,11.0,0
21,44.0,57872.477795193314,8,5900.0,11.0,10.452978056426332,0
22,60.0,37940.0,16,11290.0,1.0,12.0,1
23,33.0,79606.0,27,16830.0,15.0,13.0,0
24,32.0,31275.0,26,10030.0,1.0,9.0,1
25,44.0,45488.0,16,22090.0,12.0,17.0,0
26,35.0,72193.0,26,12220.0,12.0,8.0,0
27,49.0,49244.0,30,15880.0,1.0,5.0,0
28,36.0,130540.0,5,27200.0,9.0,12.0,0
29,52.0,51278.0,37,1500.0,10.0,8.0,0
30,39.0,35081.0,38,16640.0,13.0,10.0,0
31,56.0,57872.477795193314,65,13220.0,12.0,10.452978056426332,0
32,49.0,115044.0,18,17900.0,14.0,12.0,0
33,38.0,37754.0,47,12080.0,9.0,11.0,0
34,50.0,167469.0,22,34150.0,1.0,8.0,0
